Pike;1.985.134
Powell;187.892
Pulaski;1.897.799
Robertson;22.949
Rockcastle;274.616
Rowan;675.696
Russell;483.014
Scott;2.666.602
Shelby;1.384.510
Simpson;816.499
Spencer;205.703
Taylor;793.023
Todd;299.065
Trigg;233.257
Trimble;433.223
Union;638.121
Warren;5.354.183
Washington;287.645
Wayne;362.827
Webster;592.740
Whitley;945.799
Wolfe;93.018
Woodford;1.059.073
Acadia;1.496.856
Allen;614.060
Ascension;8.022.902
Assumption;387.917
Avoyelles;829.368
Beauregard;931.413
Bienville;600.019
Bossier;4.832.284
Caddo;11.900.165
Calcasieu;11.724.035
Caldwell;180.068
Cameron;1.469.116
Catahoula;174.264
Claiborne;475.099
Concordia;537.863
De Soto;3.102.843
East Baton Rouge;37.864.775
East Carroll;204.246
East Feliciana;443.247
Evangeline;860.163
Franklin;453.550
Grant;337.026
Iberia;3.036.443
Iberville;1.541.758
Jackson;476.084
Jefferson;21.093.283
Jefferson Davis;905.072
Lafayette;12.287.179
Lafourche;3.730.400
LaSalle;447.532
Lincoln;2.002.252
Livingston;2.262.951
Madison;393.131
Morehouse;672.639
Natchitoches;1.230.144
Orleans;21.424.452
Ouachita;6.571.209
Plaquemines;3.569.449
Pointe Coupee;780.225
Rapides;5.061.924
Red River;864.699
Richland;530.459
Sabine;721.062
St. Bernard;1.923.768
St. Charles;7.376.661
St. Helena;140.612
St. James;2.224.237
St. John the Baptist;2.976.594
St. Landry;2.253.898
St. Martin;1.133.792
St. Mary;2.299.656
St. Tammany;9.629.621
Tangipahoa;3.431.207
Tensas;147.117
Terrebonne;5.230.091
Union;606.404
Vermilion;1.581.938
Vernon;1.867.611
Washington;1.016.986
Webster;1.049.068
West Baton Rouge;1.965.013
West Carroll;226.762
West Feliciana;744.128
Winn;424.219
Androscoggin;4.168.754
Aroostook;2.330.519
Cumberland;18.331.283
Franklin;968.229
Hancock;2.115.623
Kennebec;4.906.539
Knox;1.543.270
Lincoln;997.524
Oxford;1.495.204
Penobscot;5.679.540
Piscataquis;464.434
Sagadahoc;1.483.674
Somerset;1.621.152
Waldo;1.079.165
Washington;1.024.631
York;6.881.770
Allegany;2.880.255
Anne Arundel;44.315.920
Baltimore;48.491.337
Calvert;4.534.089
Caroline;1.303.950
Carroll;5.626.279
Cecil;3.948.389
Charles;5.237.561
Dorchester;1.226.402
Frederick;11.739.958
Garrett;1.182.837
Harford;11.404.085
Howard;23.138.132
Kent;881.189
Montgomery;83.999.563
Prince George's;40.248.921
Queen Anne's;1.576.427
St. Mary's;6.390.500
Somerset;1.054.974
Talbot;1.952.387
Washington;6.697.323
Wicomico;4.895.969
Worcester;2.698.897
Baltimore City;44.590.603
Barnstable;12.218.581
Berkshire;6.520.799
Bristol;23.610.863
Dukes;1.704.873
Essex;40.626.609
Franklin;2.688.436
Hampden;20.443.970
Hampshire;6.835.904
Middlesex;146.791.776
Nantucket;1.714.775
Norfolk;49.022.260
Plymouth;22.832.632
Suffolk;105.349.822
Worcester;38.779.107
Alcona;193.476
Alger;213.996
Allegan;3.839.036
Alpena;990.536
Antrim;521.585
Arenac;387.737
Baraga;223.168
Barry;1.381.495
Bay;3.328.608
Benzie;399.501
Berrien;6.906.095
Branch;1.245.503
Calhoun;5.837.316
Cass;978.394
Charlevoix;1.076.561
Cheboygan;573.953
Chippewa;1.028.903
Clare;820.994
Clinton;1.998.643
Crawford;358.118
Delta;1.137.804
Dickinson;1.176.187
Eaton;4.717.436
Emmet;1.519.158
Genesee;14.687.136
Gladwin;405.269
Gogebic;427.398
Grand Traverse;4.466.254
Gratiot;1.200.514
Hillsdale;1.421.336
Houghton;1.004.763
Huron;1.355.848
Ingham;14.513.528
Ionia;1.434.044
Iosco;693.894
Iron;291.434
Isabella;2.197.317
Jackson;5.342.262
Kalamazoo;11.688.699
Kalkaska;447.825
Kent;36.728.636
Keweenaw;46.566
Lake;183.900
Lapeer;1.960.584
Leelanau;642.499
Lenawee;2.631.479
Livingston;5.845.457
Luce;150.931
Mackinac;405.764
Macomb;34.884.320
Manistee;681.803
Marquette;3.102.946
Mason;971.006
Mecosta;1.193.564
Menominee;627.956
Midland;4.844.818
Missaukee;343.436
Monroe;5.428.402
Montcalm;1.469.900
Montmorency;263.183
Muskegon;5.798.477
Newaygo;1.183.571
Oakland;91.302.267
Oceana;611.447
Ogemaw;500.232
Ontonagon;117.202
Osceola;641.435
Oscoda;175.610
Otsego;876.851
Ottawa;12.311.876
Presque Isle;350.253
Roscommon;526.482
Saginaw;7.573.411
St. Clair;4.798.011
St. Joseph;1.898.732
Sanilac;1.140.005
Schoolcraft;280.887
Shiawassee;1.525.289
Tuscola;1.190.577
Van Buren;2.803.474
Washtenaw;20.953.441
Wayne;88.510.590
Wexford;1.078.568
Aitkin;410.841
Anoka;13.161.687
Becker;1.350.217
Beltrami;1.607.191
Benton;1.635.461
Big Stone;216.457
Blue Earth;3.843.519
Brown;1.476.911
Carlton;1.152.410
Carver;4.532.690
Cass;880.147
Chippewa;559.319
Chisago;1.336.519
Clay;1.842.745
Clearwater;322.608
Cook;258.898
Cottonwood;619.837
Crow Wing;2.602.655
Dakota;23.934.542
Dodge;691.333
Douglas;1.870.906
Faribault;522.390
Fillmore;674.238
Freeborn;1.182.076
Goodhue;2.678.694
Grant;284.173
Hennepin;118.485.235
Houston;529.269
Hubbard;566.013
Isanti;1.023.198
Itasca;2.066.706
Jackson;654.394
Kanabec;388.504
Kandiyohi;2.214.173
Kittson;179.118
Koochiching;515.553
Lac qui Parle;238.733
Lake;571.299
Lake of the Woods;177.839
Le Sueur;922.289
Lincoln;274.724
Lyon;1.593.298
McLeod;1.768.028
Mahnomen;184.295
Marshall;324.026
Martin;976.492
Meeker;772.287
Mille Lacs;759.934
Morrison;1.327.067
Mower;1.834.838
Murray;604.407
Nicollet;1.330.738
Nobles;1.257.133
Norman;231.577
Olmsted;9.701.265
Otter Tail;2.241.108
Pennington;1.268.132
Pine;623.389
Pipestone;683.695
